!	bang|exclamation|mark|point
#	hash|hashtag|lb|number|pound|sign
#⃣	keycap
$	dollar|money|peso|usd
🧑🏼‍🏭	assembly|factory|industrial|medium|light|skin|tone|worker
🧑🏼‍🐰‍🧑🏻	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏼‍🐰‍🧑🏽	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|skin|tone|light|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏼‍🐰‍🧑🏾	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|dark|skin|tone|light|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏼‍🐰‍🧑🏿	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|light|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏼‍💻	coder|computer|developer|inventor|medium|light|skin|tone|software|technologist
🧑🏼‍💼	architect|business|manager|medium|light|skin|tone|office|white|collar|worker
🧑🏼‍🔧	electrician|mechanic|medium|light|skin|tone|plumber|tradesperson
🧑🏼‍🔬	biologist|chemist|engineer|mathematician|medium|light|skin|tone|physicist|scientist
🧑🏼‍🚀	astronaut|medium|light|skin|tone|rocket|space
🧑🏼‍🚒	fire|firefighter|firetruck|medium|light|skin|tone
🧑🏼‍🤝‍🧑🏻	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|light|skin|tone|medium|people|twins|holding|hands
🧑🏼‍🤝‍🧑🏼	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|medium|light|skin|tone|people|twins|holding|hands
🧑🏼‍🤝‍🧑🏽	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|medium|skin|tone|light|people|twins|holding|hands
🧑🏼‍🤝‍🧑🏾	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|medium|dark|skin|tone|light|people|twins|holding|hands
🧑🏼‍🤝‍🧑🏿	bae|bestie|bff|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|light|people|twins|holding|hands
🧑🏼‍🦯	accessibility|blind|cane|medium|light|skin|tone|person|probing|white
🧑🏼‍🦯‍➡	accessibility|blind|cane|facing|medium|light|skin|tone|person|probing|right|white
🧑🏼‍🦰	adult|medium|light|skin|tone|person|red|hair
🧑🏼‍🦱	adult|curly|hair|medium|light|skin|tone|person
🧑🏼‍🦲	adult|bald|medium|light|skin|tone|person
🧑🏼‍🦳	adult|medium|light|skin|tone|person|white|hair
🧑🏼‍🦼	accessibility|medium|light|skin|tone|motorized|person|wheelchair
🧑🏼‍🦼‍➡	accessibility|facing|medium|light|skin|tone|motorized|person|right|wheelchair
🧑🏼‍🦽	accessibility|manual|medium|light|skin|tone|person|wheelchair
🧑🏼‍🦽‍➡	accessibility|facing|manual|medium|light|skin|tone|person|right|wheelchair
🧑🏼‍🩰	ballet|dancer|medium|light|skin|tone
🧑🏼‍🫯‍🧑🏻	combat|duel|grapple|light|skin|tone|medium|people|ring|tournament|wrestle|wrestling
🧑🏼‍🫯‍🧑🏽	combat|duel|grapple|medium|skin|tone|light|people|ring|tournament|wrestle|wrestling
🧑🏼‍🫯‍🧑🏾	combat|duel|grapple|medium|dark|skin|tone|light|people|ring|tournament|wrestle|wrestling
🧑🏼‍🫯‍🧑🏿	combat|dark|skin|tone|duel|grapple|medium|light|people|ring|tournament|wrestle|wrestling
🧑🏽	adult|medium|skin|tone|person
🧑🏽‍⚕	doctor|health|healthcare|medium|skin|tone|nurse|therapist|worker
🧑🏽‍⚖	judge|justice|law|medium|skin|tone|scales
🧑🏽‍✈	medium|skin|tone|pilot|plane
🧑🏽‍❤‍💋‍🧑🏻	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|medium|mwah|person|romance|together|xoxo
🧑🏽‍❤‍💋‍🧑🏼	anniversary|babe|bae|couple|date|dating|heart|kiss|love|medium|skin|tone|light|mwah|person|romance|together|xoxo
🧑🏽‍❤‍💋‍🧑🏾	anniversary|babe|bae|couple|date|dating|heart|kiss|love|medium|skin|tone|dark|mwah|person|romance|together|xoxo
🧑🏽‍❤‍💋‍🧑🏿	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|medium|mwah|person|romance|together|xoxo
🧑🏽‍❤‍🧑🏻	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|medium|person|relationship|romance|together|you
🧑🏽‍❤‍🧑🏼	anniversary|babe|bae|couple|dating|heart|kiss|love|medium|skin|tone|light|person|relationship|romance|together|you
🧑🏽‍❤‍🧑🏾	anniversary|babe|bae|couple|dating|heart|kiss|love|medium|skin|tone|dark|person|relationship|romance|together|you
🧑🏽‍❤‍🧑🏿	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|medium|person|relationship|romance|together|you
🧑🏽‍🌾	farmer|gardener|medium|skin|tone|rancher
🧑🏽‍🍳	chef|cook|medium|skin|tone
🧑🏽‍🍼	baby|feed|feeding|medium|skin|tone|nanny|newborn|nursing|parent|person
🧑🏽‍🎄	celebration|christmas|claus|fairy|fantasy|holiday|medium|skin|tone|merry|mx|santa|tale|xmas
🧑🏽‍🎓	graduate|medium|skin|tone|student
🧑🏽‍🎤	actor|entertainer|medium|skin|tone|rock|rockstar|singer|star
🧑🏽‍🎨	artist|medium|skin|tone|palette
🧑🏽‍🏫	instructor|lecturer|medium|skin|tone|professor|teacher
🧑🏽‍🏭	assembly|factory|industrial|medium|skin|tone|worker
🧑🏽‍🐰‍🧑🏻	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏽‍🐰‍🧑🏼	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|skin|tone|light|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏽‍🐰‍🧑🏾	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|skin|tone|dark|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏽‍🐰‍🧑🏿	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏽‍💻	coder|computer|developer|inventor|medium|skin|tone|software|technologist
🧑🏽‍💼	architect|business|manager|medium|skin|tone|office|white|collar|worker
🧑🏽‍🔧	electrician|mechanic|medium|skin|tone|plumber|tradesperson
🧑🏽‍🔬	biologist|chemist|engineer|mathematician|medium|skin|tone|physicist|scientist
🧑🏽‍🚀	astronaut|medium|skin|tone|rocket|space
🧑🏽‍🚒	fire|firefighter|firetruck|medium|skin|tone
🧑🏽‍🤝‍🧑🏻	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|light|skin|tone|medium|people|twins|holding|hands
🧑🏽‍🤝‍🧑🏼	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|medium|skin|tone|light|people|twins|holding|hands
🧑🏽‍🤝‍🧑🏽	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|medium|skin|tone|people|twins|holding|hands
🧑🏽‍🤝‍🧑🏾	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|medium|skin|tone|dark|people|twins|holding|hands
🧑🏽‍🤝‍🧑🏿	bae|bestie|bff|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|people|twins|holding|hands
🧑🏽‍🦯	accessibility|blind|cane|medium|skin|tone|person|probing|white
🧑🏽‍🦯‍➡	accessibility|blind|cane|facing|medium|skin|tone|person|probing|right|white
🧑🏽‍🦰	adult|medium|skin|tone|person|red|hair
🧑🏽‍🦱	adult|curly|hair|medium|skin|tone|person
🧑🏽‍🦲	adult|bald|medium|skin|tone|person
🧑🏽‍🦳	adult|medium|skin|tone|person|white|hair
🧑🏽‍🦼	accessibility|medium|skin|tone|motorized|person|wheelchair
🧑🏽‍🦼‍➡	accessibility|facing|medium|skin|tone|motorized|person|right|wheelchair
🧑🏽‍🦽	accessibility|manual|medium|skin|tone|person|wheelchair
🧑🏽‍🦽‍➡	accessibility|facing|manual|medium|skin|tone|person|right|wheelchair
🧑🏽‍🩰	ballet|dancer|medium|skin|tone
🧑🏽‍🫯‍🧑🏻	combat|duel|grapple|light|skin|tone|medium|people|ring|tournament|wrestle|wrestling
🧑🏽‍🫯‍🧑🏼	combat|duel|grapple|medium|skin|tone|light|people|ring|tournament|wrestle|wrestling
🧑🏽‍🫯‍🧑🏾	combat|duel|grapple|medium|skin|tone|dark|people|ring|tournament|wrestle|wrestling
🧑🏽‍🫯‍🧑🏿	combat|dark|skin|tone|duel|grapple|medium|people|ring|tournament|wrestle|wrestling
🧑🏾	adult|medium|dark|skin|tone|person
🧑🏾‍⚕	doctor|health|healthcare|medium|dark|skin|tone|nurse|therapist|worker
🧑🏾‍⚖	judge|justice|law|medium|dark|skin|tone|scales
🧑🏾‍✈	medium|dark|skin|tone|pilot|plane
🧑🏾‍❤‍💋‍🧑🏻	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|medium|dark|mwah|person|romance|together|xoxo
🧑🏾‍❤‍💋‍🧑🏼	anniversary|babe|bae|couple|date|dating|heart|kiss|love|medium|dark|skin|tone|light|mwah|person|romance|together|xoxo
🧑🏾‍❤‍💋‍🧑🏽	anniversary|babe|bae|couple|date|dating|heart|kiss|love|medium|skin|tone|dark|mwah|person|romance|together|xoxo
🧑🏾‍❤‍💋‍🧑🏿	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|medium|mwah|person|romance|together|xoxo
🧑🏾‍❤‍🧑🏻	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|medium|dark|person|relationship|romance|together|you
🧑🏾‍❤‍🧑🏼	anniversary|babe|bae|couple|dating|heart|kiss|love|medium|dark|skin|tone|light|person|relationship|romance|together|you
🧑🏾‍❤‍🧑🏽	anniversary|babe|bae|couple|dating|heart|kiss|love|medium|skin|tone|dark|person|relationship|romance|together|you
🧑🏾‍❤‍🧑🏿	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|medium|person|relationship|romance|together|you
🧑🏾‍🌾	farmer|gardener|medium|dark|skin|tone|rancher
🧑🏾‍🍳	chef|cook|medium|dark|skin|tone
🧑🏾‍🍼	baby|feed|feeding|medium|dark|skin|tone|nanny|newborn|nursing|parent|person
🧑🏾‍🎄	celebration|christmas|claus|fairy|fantasy|holiday|medium|dark|skin|tone|merry|mx|santa|tale|xmas
🧑🏾‍🎓	graduate|medium|dark|skin|tone|student
🧑🏾‍🎤	actor|entertainer|medium|dark|skin|tone|rock|rockstar|singer|star
🧑🏾‍🎨	artist|medium|dark|skin|tone|palette
🧑🏾‍🏫	instructor|lecturer|medium|dark|skin|tone|professor|teacher
🧑🏾‍🏭	assembly|factory|industrial|medium|dark|skin|tone|worker
🧑🏾‍🐰‍🧑🏻	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|dark|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏾‍🐰‍🧑🏼	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|dark|skin|tone|light|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏾‍🐰‍🧑🏽	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|skin|tone|dark|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏾‍🐰‍🧑🏿	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏾‍💻	coder|computer|developer|inventor|medium|dark|skin|tone|software|technologist
🧑🏾‍💼	architect|business|manager|medium|dark|skin|tone|office|white|collar|worker
🧑🏾‍🔧	electrician|mechanic|medium|dark|skin|tone|plumber|tradesperson
🧑🏾‍🔬	biologist|chemist|engineer|mathematician|medium|dark|skin|tone|physicist|scientist
🧑🏾‍🚀	astronaut|medium|dark|skin|tone|rocket|space
🧑🏾‍🚒	fire|firefighter|firetruck|medium|dark|skin|tone
🧑🏾‍🤝‍🧑🏻	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|light|skin|tone|medium|dark|people|twins|holding|hands
🧑🏾‍🤝‍🧑🏼	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|medium|dark|skin|tone|light|people|twins|holding|hands
🧑🏾‍🤝‍🧑🏽	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|medium|skin|tone|dark|people|twins|holding|hands
🧑🏾‍🤝‍🧑🏾	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|medium|dark|skin|tone|people|twins|holding|hands
🧑🏾‍🤝‍🧑🏿	bae|bestie|bff|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|people|twins|holding|hands
🧑🏾‍🦯	accessibility|blind|cane|medium|dark|skin|tone|person|probing|white
🧑🏾‍🦯‍➡	accessibility|blind|cane|facing|medium|dark|skin|tone|person|probing|right|white
🧑🏾‍🦰	adult|medium|dark|skin|tone|person|red|hair
🧑🏾‍🦱	adult|curly|hair|medium|dark|skin|tone|person
🧑🏾‍🦲	adult|bald|medium|dark|skin|tone|person
🧑🏾‍🦳	adult|medium|dark|skin|tone|person|white|hair
🧑🏾‍🦼	accessibility|medium|dark|skin|tone|motorized|person|wheelchair
🧑🏾‍🦼‍➡	accessibility|facing|medium|dark|skin|tone|motorized|person|right|wheelchair
🧑🏾‍🦽	accessibility|manual|medium|dark|skin|tone|person|wheelchair
🧑🏾‍🦽‍➡	accessibility|facing|manual|medium|dark|skin|tone|person|right|wheelchair
🧑🏾‍🩰	ballet|dancer|medium|dark|skin|tone
🧑🏾‍🫯‍🧑🏻	combat|duel|grapple|light|skin|tone|medium|dark|people|ring|tournament|wrestle|wrestling
🧑🏾‍🫯‍🧑🏼	combat|duel|grapple|medium|dark|skin|tone|light|people|ring|tournament|wrestle|wrestling
🧑🏾‍🫯‍🧑🏽	combat|duel|grapple|medium|skin|tone|dark|people|ring|tournament|wrestle|wrestling
🧑🏾‍🫯‍🧑🏿	combat|dark|skin|tone|duel|grapple|medium|people|ring|tournament|wrestle|wrestling
🧑🏿	adult|dark|skin|tone|person
🧑🏿‍⚕	dark|skin|tone|doctor|health|healthcare|nurse|therapist|worker
🧑🏿‍⚖	dark|skin|tone|judge|justice|law|scales
🧑🏿‍✈	dark|skin|tone|pilot|plane
🧑🏿‍❤‍💋‍🧑🏻	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|light|love|mwah|person|romance|together|xoxo
🧑🏿‍❤‍💋‍🧑🏼	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|medium|light|mwah|person|romance|together|xoxo
🧑🏿‍❤‍💋‍🧑🏽	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|medium|mwah|person|romance|together|xoxo
🧑🏿‍❤‍💋‍🧑🏾	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|medium|mwah|person|romance|together|xoxo
🧑🏿‍❤‍🧑🏻	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|light|love|person|relationship|romance|together|you
🧑🏿‍❤‍🧑🏼	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|medium|light|person|relationship|romance|together|you
🧑🏿‍❤‍🧑🏽	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|medium|person|relationship|romance|together|you
🧑🏿‍❤‍🧑🏾	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|medium|person|relationship|romance|together|you
🧑🏿‍🌾	dark|skin|tone|farmer|gardener|rancher
🧑🏿‍🍳	chef|cook|dark|skin|tone
🧑🏿‍🍼	baby|dark|skin|tone|feed|feeding|nanny|newborn|nursing|parent|person
🧑🏿‍🎄	celebration|christmas|claus|dark|skin|tone|fairy|fantasy|holiday|merry|mx|santa|tale|xmas
🧑🏿‍🎓	dark|skin|tone|graduate|student
🧑🏿‍🎤	actor|dark|skin|tone|entertainer|rock|rockstar|singer|star
🧑🏿‍🎨	artist|dark|skin|tone|palette
🧑🏿‍🏫	dark|skin|tone|instructor|lecturer|professor|teacher
🧑🏿‍🏭	assembly|dark|skin|tone|factory|industrial|worker
🧑🏿‍🐰‍🧑🏻	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|light|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏿‍🐰‍🧑🏼	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|light|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏿‍🐰‍🧑🏽	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏿‍🐰‍🧑🏾	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|pair|party|partying|people|soulmate|twin|twinsies|ears
🧑🏿‍💻	coder|computer|dark|skin|tone|developer|inventor|software|technologist
🧑🏿‍💼	architect|business|dark|skin|tone|manager|office|white|collar|worker
🧑🏿‍🔧	dark|skin|tone|electrician|mechanic|plumber|tradesperson
🧑🏿‍🔬	biologist|chemist|dark|skin|tone|engineer|mathematician|physicist|scientist
🧑🏿‍🚀	astronaut|dark|skin|tone|rocket|space
🧑🏿‍🚒	dark|skin|tone|fire|firefighter|firetruck
🧑🏿‍🤝‍🧑🏻	bae|bestie|bff|couple|dark|skin|tone|dating|flirt|friends|hand|hold|light|people|twins|holding|hands
🧑🏿‍🤝‍🧑🏼	bae|bestie|bff|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|light|people|twins|holding|hands
🧑🏿‍🤝‍🧑🏽	bae|bestie|bff|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|people|twins|holding|hands
🧑🏿‍🤝‍🧑🏾	bae|bestie|bff|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|people|twins|holding|hands
🧑🏿‍🤝‍🧑🏿	bae|bestie|bff|couple|dark|skin|tone|dating|flirt|friends|hand|hold|people|twins|holding|hands
🧑🏿‍🦯	accessibility|blind|cane|dark|skin|tone|person|probing|white
🧑🏿‍🦯‍➡	accessibility|blind|cane|dark|skin|tone|facing|person|probing|right|white
🧑🏿‍🦰	adult|dark|skin|tone|person|red|hair
🧑🏿‍🦱	adult|curly|hair|dark|skin|tone|person
🧑🏿‍🦲	adult|bald|dark|skin|tone|person
🧑🏿‍🦳	adult|dark|skin|tone|person|white|hair
🧑🏿‍🦼	accessibility|dark|skin|tone|motorized|person|wheelchair
🧑🏿‍🦼‍➡	accessibility|dark|skin|tone|facing|motorized|person|right|wheelchair
🧑🏿‍🦽	accessibility|dark|skin|tone|manual|person|wheelchair
🧑🏿‍🦽‍➡	accessibility|dark|skin|tone|facing|manual|person|right|wheelchair
🧑🏿‍🩰	ballet|dancer|dark|skin|tone
🧑🏿‍🫯‍🧑🏻	combat|dark|skin|tone|duel|grapple|light|people|ring|tournament|wrestle|wrestling
🧑🏿‍🫯‍🧑🏼	combat|dark|skin|tone|duel|grapple|medium|light|people|ring|tournament|wrestle|wrestling
🧑🏿‍🫯‍🧑🏽	combat|dark|skin|tone|duel|grapple|medium|people|ring|tournament|wrestle|wrestling
🧑🏿‍🫯‍🧑🏾	combat|dark|skin|tone|duel|grapple|medium|people|ring|tournament|wrestle|wrestling
🧒	bright|eyed|child|grandchild|kid|young|younger
🧒🏻	bright|eyed|child|grandchild|kid|light|skin|tone|young|younger
🧒🏼	bright|eyed|child|grandchild|kid|medium|light|skin|tone|young|younger
🧒🏽	bright|eyed|child|grandchild|kid|medium|skin|tone|young|younger
🧒🏾	bright|eyed|child|grandchild|kid|medium|dark|skin|tone|young|younger
🧒🏿	bright|eyed|child|dark|skin|tone|grandchild|kid|young|younger
🧓	adult|elderly|grandparent|old|person|wise|older
🧓🏻	adult|elderly|grandparent|light|skin|tone|old|person|wise|older
🧓🏼	adult|elderly|grandparent|medium|light|skin|tone|old|person|wise|older
🧓🏽	adult|elderly|grandparent|medium|skin|tone|old|person|wise|older
🧓🏾	adult|elderly|grandparent|medium|dark|skin|tone|old|person|wise|older
🧓🏿	adult|dark|skin|tone|elderly|grandparent|old|person|wise|older
🧔	beard|bearded|person|whiskers
🧔‍♀	beard|bearded|whiskers|woman
🧔‍♂	beard|bearded|man|whiskers
🧔🏻	beard|bearded|light|skin|tone|person|whiskers
🧔🏻‍♀	beard|bearded|light|skin|tone|whiskers|woman
🧔🏻‍♂	beard|bearded|light|skin|tone|man|whiskers
🧔🏼	beard|bearded|medium|light|skin|tone|person|whiskers
🧔🏼‍♀	beard|bearded|medium|light|skin|tone|whiskers|woman
🧔🏼‍♂	beard|bearded|man|medium|light|skin|tone|whiskers
🧔🏽	beard|bearded|medium|skin|tone|person|whiskers
🧔🏽‍♀	beard|bearded|medium|skin|tone|whiskers|woman
🧔🏽‍♂	beard|bearded|man|medium|skin|tone|whiskers
🧔🏾	beard|bearded|medium|dark|skin|tone|person|whiskers
🧔🏾‍♀	beard|bearded|medium|dark|skin|tone|whiskers|woman
🧔🏾‍♂	beard|bearded|man|medium|dark|skin|tone|whiskers
🧔🏿	beard|bearded|dark|skin|tone|person|whiskers
🧔🏿‍♀	beard|bearded|dark|skin|tone|whiskers|woman
🧔🏿‍♂	beard|bearded|dark|skin|tone|man|whiskers
🧕	bandana|head|headscarf|hijab|kerchief|mantilla|tichel|woman
🧕🏻	bandana|head|headscarf|hijab|kerchief|light|skin|tone|mantilla|tichel|woman
🧕🏼	bandana|head|headscarf|hijab|kerchief|mantilla|medium|light|skin|tone|tichel|woman
🧕🏽	bandana|head|headscarf|hijab|kerchief|mantilla|medium|skin|tone|tichel|woman
🧕🏾	bandana|head|headscarf|hijab|kerchief|mantilla|medium|dark|skin|tone|tichel|woman
🧕🏿	bandana|dark|skin|tone|head|headscarf|hijab|kerchief|mantilla|tichel|woman
🧖	day|luxurious|pamper|person|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧖‍♀	day|luxurious|pamper|relax|room|sauna|spa|steam|steambath|unwind|woman|steamy
🧖‍♂	day|luxurious|man|pamper|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧖🏻	day|light|skin|tone|luxurious|pamper|person|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧖🏻‍♀	day|light|skin|tone|luxurious|pamper|relax|room|sauna|spa|steam|steambath|unwind|woman|steamy
🧖🏻‍♂	day|light|skin|tone|luxurious|man|pamper|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧖🏼	day|luxurious|medium|light|skin|tone|pamper|person|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧖🏼‍♀	day|luxurious|medium|light|skin|tone|pamper|relax|room|sauna|spa|steam|steambath|unwind|woman|steamy
🧖🏼‍♂	day|luxurious|man|medium|light|skin|tone|pamper|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧖🏽	day|luxurious|medium|skin|tone|pamper|person|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧖🏽‍♀	day|luxurious|medium|skin|tone|pamper|relax|room|sauna|spa|steam|steambath|unwind|woman|steamy
🧖🏽‍♂	day|luxurious|man|medium|skin|tone|pamper|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧖🏾	day|luxurious|medium|dark|skin|tone|pamper|person|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧖🏾‍♀	day|luxurious|medium|dark|skin|tone|pamper|relax|room|sauna|spa|steam|steambath|unwind|woman|steamy
🧖🏾‍♂	day|luxurious|man|medium|dark|skin|tone|pamper|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧖🏿	dark|skin|tone|day|luxurious|pamper|person|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧖🏿‍♀	dark|skin|tone|day|luxurious|pamper|relax|room|sauna|spa|steam|steambath|unwind|woman|steamy
🧖🏿‍♂	dark|skin|tone|day|luxurious|man|pamper|relax|room|sauna|spa|steam|steambath|unwind|steamy
🧗	climb|climber|climbing|mountain|person|rock|scale|up
🧗‍♀	climb|climber|climbing|mountain|rock|scale|up|woman
🧗‍♂	climb|climber|climbing|man|mountain|rock|scale|up
🧗🏻	climb|climber|climbing|light|skin|tone|mountain|person|rock|scale|up
🧗🏻‍♀	climb|climber|climbing|light|skin|tone|mountain|rock|scale|up|woman
🧗🏻‍♂	climb|climber|climbing|light|skin|tone|man|mountain|rock|scale|up
🧗🏼	climb|climber|climbing|medium|light|skin|tone|mountain|person|rock|scale|up
🧗🏼‍♀	climb|climber|climbing|medium|light|skin|tone|mountain|rock|scale|up|woman
🧗🏼‍♂	climb|climber|climbing|man|medium|light|skin|tone|mountain|rock|scale|up
🧗🏽	climb|climber|climbing|medium|skin|tone|mountain|person|rock|scale|up
🧗🏽‍♀	climb|climber|climbing|medium|skin|tone|mountain|rock|scale|up|woman
🧗🏽‍♂	climb|climber|climbing|man|medium|skin|tone|mountain|rock|scale|up
🧗🏾	climb|climber|climbing|medium|dark|skin|tone|mountain|person|rock|scale|up
🧗🏾‍♀	climb|climber|climbing|medium|dark|skin|tone|mountain|rock|scale|up|woman
🧗🏾‍♂	climb|climber|climbing|man|medium|dark|skin|tone|mountain|rock|scale|up
🧗🏿	climb|climber|climbing|dark|skin|tone|mountain|person|rock|scale|up
🧗🏿‍♀	climb|climber|climbing|dark|skin|tone|mountain|rock|scale|up|woman
🧗🏿‍♂	climb|climber|climbing|dark|skin|tone|man|mountain|rock|scale|up
🧘	cross|legged|legs|lotus|meditation|peace|person|position|relax|serenity|yoga|yogi|zen
🧘‍♀	cross|legged|legs|lotus|meditation|peace|position|relax|serenity|woman|yoga|yogi|zen
🧘‍♂	cross|legged|legs|lotus|man|meditation|peace|position|relax|serenity|yoga|yogi|zen
🧘🏻	cross|legged|legs|light|skin|tone|lotus|meditation|peace|person|position|relax|serenity|yoga|yogi|zen
🧘🏻‍♀	cross|legged|legs|light|skin|tone|lotus|meditation|peace|position|relax|serenity|woman|yoga|yogi|zen
🧘🏻‍♂	cross|legged|legs|light|skin|tone|lotus|man|meditation|peace|position|relax|serenity|yoga|yogi|zen
🧘🏼	cross|legged|legs|lotus|meditation|medium|light|skin|tone|peace|person|position|relax|serenity|yoga|yogi|zen
🧘🏼‍♀	cross|legged|legs|lotus|meditation|medium|light|skin|tone|peace|position|relax|serenity|woman|yoga|yogi|zen
🧘🏼‍♂	cross|legged|legs|lotus|man|meditation|medium|light|skin|tone|peace|position|relax|serenity|yoga|yogi|zen
🧘🏽	cross|legged|legs|lotus|meditation|medium|skin|tone|peace|person|position|relax|serenity|yoga|yogi|zen
🧘🏽‍♀	cross|legged|legs|lotus|meditation|medium|skin|tone|peace|position|relax|serenity|woman|yoga|yogi|zen
🧘🏽‍♂	cross|legged|legs|lotus|man|meditation|medium|skin|tone|peace|position|relax|serenity|yoga|yogi|zen
🧘🏾	cross|legged|legs|lotus|meditation|medium|dark|skin|tone|peace|person|position|relax|serenity|yoga|yogi|zen
🧘🏾‍♀	cross|legged|legs|lotus|meditation|medium|dark|skin|tone|peace|position|relax|serenity|woman|yoga|yogi|zen
🧘🏾‍♂	cross|legged|legs|lotus|man|meditation|medium|dark|skin|tone|peace|position|relax|serenity|yoga|yogi|zen
🧘🏿	cross|dark|skin|tone|legged|legs|lotus|meditation|peace|person|position|relax|serenity|yoga|yogi|zen
🧘🏿‍♀	cross|dark|skin|tone|legged|legs|lotus|meditation|peace|position|relax|serenity|woman|yoga|yogi|zen
🧘🏿‍♂	cross|dark|skin|tone|legged|legs|lotus|man|meditation|peace|position|relax|serenity|yoga|yogi|zen
🧙	fantasy|mage|magic|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard
🧙‍♀	fantasy|mage|magic|play|sorcerer|sorceress|sorcery|spell|summon|witch|wizard|woman
